episode,halted_mean
0,91.80083449235049
1,72.3605006954103
2,77.26787204450626
3,64.0509040333797
4,55.096522948539636
5,67.67677329624479
6,72.40917941585535
7,51.79443671766342
8,72.22809457579972
9,69.04840055632823
10,49.46620305980529
11,60.98386648122392
12,42.368011126564674
13,41.164673157162724
14,44.42197496522949
15,34.71710709318498
16,35.154102920723226
17,46.008066759388036
18,50.232545201668984
19,38.24756606397775
20,38.09262865090403
21,42.60222531293463
22,27.136300417246176
23,28.100139082058416
24,35.22336578581363
25,37.17134909596662
26,41.66369958275382
27,28.766898470097356
28,29.339082058414466
29,28.422253129346313
30,31.224200278164115
31,34.0884561891516
32,22.736022253129345
33,30.08817802503477
34,28.071766342141864
35,24.314603616133518
36,24.204172461752435
37,23.996662030598053
38,22.41307371349096
39,26.690403337969403
40,27.22837273991655
41,22.235048678720446
42,24.416689847009735
43,20.97635605006954
44,20.815020862308764
45,18.85257301808067
46,23.319888734353267
47,16.840055632823365
48,22.195827538247567
49,17.83866481223922
